text,label
"UPI access restricted hai. Verification complete karne ke liye link open kare",1
"Bank KYC renewal due hai. Account continue rakhne ke liye click kare",1
"Lottery winner! Rs 1 lakh reward receive karne ke liye registration kare",1
"PAN verification unsuccessful. Revalidate details through secure portal",1
"Aadhaar update required. Banking services band hone se pehle complete kare",1
"Recharge offer unlocked. Cashback pane ke liye abhi claim kare",1
"Your account has been selected for bonus reward. Link par click kare",1
"UPI profile suspend warning. Verify identity immediately",1
"Bank alert: Unauthorized access detected. Account secure karne ke liye login kare",1
"KYC deadline aaj hai. Verification nahi hua to account block ho jayega",1
"Electricity bill settlement required. Immediate action le warna service band hogi",1
"Reward voucher claim kare. Limited time offer available",1
"Aadhaar linking incomplete. Pension benefit continue rakhne ke liye update kare",1
"PAN card issue detected. Resolve karne ke liye secure link use kare",1
"UPI account review pending. Verification complete kare",1
"Banking services temporarily suspended. Details confirm karke restore kare",1
"Cash prize jeetne ka mauka. Registration complete karne ke liye click kare",1
"KYC mismatch detected. Correct information submit kare",1
"Electricity board final notice. Payment pending hai. Link open kare",1
"Dear customer, account access limited hai. Verification required",1
"UPI verification failure. Account activate karne ke liye click kare",1
"Bank reward redemption pending. Abhi claim kare",1
"Aadhaar document expired. Update karna mandatory hai",1
"PAN validation required. Account restrictions avoid karne ke liye verify kare",1
"Recharge reward credited nahi hua. Claim process complete kare",1
"Bank notice: KYC incomplete. Immediate action required",1
"Electricity service interruption avoid karne ke liye bill pay kare",1
"UPI suspend alert. Secure login ke liye link follow kare",1
"Prize claim pending. Verification fee submit kare",1
"Aadhaar-bank linking incomplete. Update now",1
"PAN card blocked notice. Verification ke liye login kare",1
"Dear user, cashback waiting hai. Claim before expiry",1
"Account security review pending. Click to continue banking",1
"KYC status failed. Re-submit details immediately",1
"UPI service disabled warning. Verify account now",1
"Electricity bill issue detected. Resolve through link",1
"Reward points convert to cash. Claim today",1
"Bank account verification required. Access continue rakhne ke liye click kare",1
"Aadhaar authentication failed. Revalidate details now",1
"PAN update deadline today. Complete process urgently",1
"UPI profile blocked due to incomplete KYC",1
"Recharge bonus available. Activate offer through link",1
"Dear customer, account freeze notice. Verify identity",1
"Electricity board legal notice. Pending bill clear kare",1
"Cash reward approved. Bank details submit kare",1
"Bank KYC alert. Services stop hone se pehle update kare",1
"Aadhaar seeding pending. Account benefits suspend ho sakte hain",1
"UPI account deactivate warning. Immediate action required",1
"PAN verification incomplete. Login and confirm details",1
"Prize winner notification. Claim amount receive kare",1
"Bank account access restricted. Verify mobile number now",1
"Electricity payment overdue. Last chance to avoid disconnection",1
"KYC renewal required. Click secure link",1
"UPI verification pending. Continue services by updating details",1
"Aadhaar update request approved. Complete final verification",1
"Reward cash transfer pending. Claim immediately",1
"PAN-Aadhaar mismatch found. Correct details now",1
"Bank security upgrade. Re-login to avoid suspension",1
"Recharge reward unlocked. Redeem before expiry",1
"UPI account risk detected. Verify ownership",1
"Electricity bill final alert. Payment required today",1
"Dear customer, KYC pending. Account block avoid karne ke liye update kare",1
"Your OTP for login is 483921. Do not share it with anyone.",0
"Rs 500 credited to your account. Available balance is Rs 12,450.",0
"Your recharge of Rs 239 has been successfully completed.",0
"Payment of Rs 1,250 made successfully via UPI.",0
"Package shipped and will be delivered by tomorrow.",0
"Train ticket confirmed. PNR status is CNF.",0
"Your OTP for transaction is 751284. Valid for 10 minutes.",0
"Salary of Rs 45,000 credited to your account.",0
"Debit card purchase of Rs 899 completed successfully.",0
"Electricity bill payment received. Thank you.",0
"Your account balance is Rs 8,230 after latest transaction.",0
"Recharge successful. Validity extended for 28 days.",0
"Payment of Rs 399 received for your order.",0
"Courier out for delivery. Keep phone reachable.",0
"Bus ticket booked successfully. Journey details shared.",0
"Your OTP is 918273 for account login.",0
"Rs 2,000 transferred successfully through UPI.",0
"Credit card bill payment successful. Thank you.",0
"Order delivered successfully. We hope you enjoy your purchase.",0
"Fastag recharge of Rs 500 completed successfully.",0
"Your OTP is 664921. Do not disclose it.",0
"Bank transaction successful. Updated balance available.",0
"Mobile recharge successful. Data benefits activated.",0
"Payment received for invoice number 4582.",0
"Your parcel has reached the nearest hub.",0
"Flight ticket booked successfully. Check email for details.",0
"OTP 183745 is valid for 5 minutes.",0
"Rs 850 debited from account for online purchase.",0
"EMI payment received successfully.",0
"Order dispatched and expected soon.",0
"Ticket booking confirmed. Safe travels.",0
"Your OTP is 447281 for verification.",0
"Account credited with Rs 1,500.",0
"Recharge completed successfully. Enjoy uninterrupted service.",0
"UPI payment successful. Reference number generated.",0
"Package delivered at your address.",0
"Movie ticket confirmed for your selected show.",0
"OTP 924561 is required for secure login.",0
"Rs 1,200 credited to your wallet.",0
"Insurance premium payment received successfully.",0
"Your shipment is on the way.",0
"Train reservation confirmed successfully.",0
"OTP 557821 is valid for authentication.",0
"Bank transfer completed. Balance updated.",0
"Recharge successful. Thank you for choosing our service.",0
"Payment of Rs 699 processed successfully.",0
"Delivery attempt completed. Check tracking updates.",0
"Hotel booking confirmed. Have a pleasant stay.",0
"OTP 330194 generated for your request.",0
"Rs 5,000 deposited into your account.",0
"Loan EMI received successfully.",0
"Your order has been packed for shipping.",0
"Flight check-in available now.",0
"OTP 784112 for secure verification.",0
"UPI collect request paid successfully.",0
"Wallet recharge completed successfully.",0
"Courier delivered to recipient.",0
"Bus reservation confirmed successfully.",0
"OTP 661283 is your login code.",0
"Amount credited. Updated balance available.",0
"Recharge successful. Remaining validity updated.",0
"Payment confirmation: Transaction completed.",0
"Shipment has left the warehouse.",0
"Ticket booked successfully. Details shared.",0
"OTP 592871 is confidential.",0
"Rs 3,250 debited for bill payment.",0
"Credit card transaction approved successfully.",0
"Order delivered. Thank you for shopping.",0
"Fastag balance recharged successfully.",0
"OTP 147852 generated for login.",0
"Bank account credited successfully.",0
"Recharge completed. Enjoy your benefits.",0
"Payment received. Receipt available online.",0
"Courier will arrive today.",0
"Travel ticket confirmed successfully.",0
"OTP 841926 valid for 10 minutes.",0
"UPI transfer successful. Reference ID recorded.",0
"Bill payment successful. Service remains active.",0
"Order shipped and tracking enabled.",0
"Flight booking confirmed successfully.",0
"OTP 378251 is your verification code.",0
"Rs 900 credited to your savings account.",0
"Subscription renewed successfully.",0
"Package delivered successfully.",0
"Train journey confirmed. Have a safe trip.",0
"OTP 486273 generated for authentication.",0
"Account debited for approved transaction.",0
"Recharge successful. Thank you.",0
"Payment completed and recorded.",0
"Shipment expected by evening.",0
"Bus booking confirmed successfully.",0
"OTP 215784 valid for login.",0
"Funds credited successfully. Balance updated.",0
"Utility bill paid successfully.",0
"Order out for delivery.",0
"Flight reservation confirmed.",0
"OTP 693821 is your one-time password.",0
"UPI payment completed successfully.",0
"Package delivered. Thank you for using our service.",0
"Account credited and transaction successful.",0
"Recharge processed successfully.",0
"Payment received successfully. Thank you.",0
"Your OTP is 902174. Do not share with anyone.",0
"Aapka KYC verification pending hai. Account band hone se bachne ke liye link par click kare",1
"Dear user, UPI ID suspend hone wali hai. Verification ke liye abhi login kare",1
"Bijli bill due hai. Aaj payment nahi kiya to connection cut ho jayega. Click here",1
"Congratulations! Aapne Rs 75,000 cash prize jeeta hai. Claim karne ke liye details bhare",1
"PAN card update nahi hua. Banking service continue rakhne ke liye verify kare",1
"Aadhaar linking pending hai. Account freeze hone se pehle update kare",1
"UPI account restricted hai. Reactivation ke liye OTP verify kare",1
"Bank notice: KYC expire ho gaya hai. Abhi renew kare warna account block hoga",1
"Recharge reward Rs 999 pending hai. Claim karne ke liye secure link open kare",1
"Aapka debit card deactivate hone wala hai. Verification required",1
"Income tax refund approve ho gaya hai. Amount receive karne ke liye details update kare",1
"UPI PIN validation failed. Account restore karne ke liye click kare",1
"Electricity department final warning. Bill clear kare warna service band hogi",1
"Lottery winner! Rs 1,50,000 transfer ke liye registration complete kare",1
"KYC mismatch mila hai. Account active rakhne ke liye details confirm kare",1
"Bank account par unusual activity detect hui hai. Secure karne ke liye login kare",1
"Aadhaar se PAN link nahi hai. Fine se bachne ke liye update kare",1
"Cashback reward unlock hua hai. Abhi claim kare before expiry",1
"UPI service temporarily disabled hai. Verification complete kare",1
"Bank security upgrade ke liye account details verify karna zaroori hai",1
"Credit card reward points cash me convert karne ke liye click kare",1
"Dear customer, account hold par hai. KYC submit karke activate kare",1
"Electricity board legal notice. Pending amount abhi pay kare",1
"Rs 50,000 lucky draw reward aapke naam approve hua hai. Claim now",1
"UPI registration incomplete hai. Service continue rakhne ke liye verify kare",1
"PAN verification failed. Revalidation ke liye secure portal visit kare",1
"Aadhaar authentication error. Account access restore karne ke liye click kare",1
"Bank account inactive mark hua hai. Immediate verification required",1
"Recharge bonus available hai. Offer activate karne ke liye login kare",1
"KYC renewal deadline aaj hai. Delay se account suspend ho sakta hai",1
"Dear user, reward voucher ready hai. Claim process complete kare",1
"UPI wallet freeze warning. Details update karke unlock kare",1
"Electricity bill settlement pending. Power cut avoid karne ke liye pay kare",1
"Prize amount release karne ke liye OTP verify kare",1
"Bank KYC reject ho gaya hai. Documents dubara upload kare",1
"Aadhaar seeding incomplete hai. Government benefits rok diye jayenge",1
"PAN card status invalid hai. Verification ke liye click kare",1
"UPI profile deactivate hone wali hai. Reactivate now",1
"Cash reward Rs 10,000 available hai. Claim before midnight",1
"Account verification pending hai. Banking services continue rakhne ke liye login kare",1
"Dear customer, ATM card block alert. Immediate action le",1
"Electricity board notice: Last payment reminder. Click to pay",1
"UPI transaction limit remove karne ke liye KYC update kare",1
"Bank account par restriction lag gayi hai. Verify details now",1
"Aadhaar update mandatory hai. Link failure detect hua hai",1
"Congratulations! Aap selected customer hain. Gift reward claim kare",1
"PAN-Aadhaar mismatch mila hai. Correction ke liye click kare",1
"Recharge cashback Rs 799 waiting hai. Claim immediately",1
"UPI verification failed. Account suspend ho sakta hai",1
"Bank alert: Mobile number update pending hai",1
"Electricity bill overdue hai. Immediate settlement required",1
"Account security check complete karne ke liye OTP submit kare",1
"KYC pending hone ki wajah se account restricted hai",1
"Aadhaar document expire ho gaya hai. Update now",1
"Prize winner notification. Registration fee submit kare",1
"UPI service upgrade ke liye account verify kare",1
"Bank account close hone wala hai. Reactivate through link",1
"PAN validation required before account usage",1
"Reward amount credit karne ke liye details verify kare",1
"Electricity connection termination notice. Bill pay kare",1
"Aadhaar linking incomplete. Final reminder",1
"UPI account access denied. Verification needed",1
"KYC details outdated hain. Renew immediately",1
"Bank reward redemption available hai. Claim today",1
"Dear customer, account temporarily blocked hai",1
"Recharge prize offer unlock hua hai. Activate now",1
"Electricity payment issue detect hua hai. Resolve kare",1
"PAN update nahi hua. Banking transaction restricted hai",1
"UPI profile review pending hai. Continue karne ke liye login kare",1
"Cash prize Rs 25,000 transfer ready hai",1
"Aadhaar verification incomplete. Click secure link",1
"Bank account verification mandatory hai",1
"Credit reward pending hai. Claim before expiry",1
"KYC deadline cross hone wali hai. Immediate action le",1
"UPI service band hone wali hai. OTP verify kare",1
"Electricity board disconnect notice issue hua hai",1
"PAN card suspension alert. Update details now",1
"Aadhaar-bank link failure mila hai. Resolve immediately",1
"Dear user, cashback voucher available hai",1
"Bank account suspicious activity alert. Verify now",1
"UPI access restore karne ke liye KYC kare",1
"Prize amount pending hai. Claim form fill kare",1
"Recharge reward eligible customer. Collect reward now",1
"Electricity dues pending hain. Last warning",1
"Aadhaar status inactive show ho raha hai. Verify kare",1
"PAN card validation incomplete. Secure link use kare",1
"UPI account locked hai. Unlock process complete kare",1
"Banking services pause ho sakti hain. Details update kare",1
"KYC resubmission required due to mismatch",1
"Cash reward approved. Account details verify kare",1
"Electricity payment failure detect hua hai",1
"UPI account suspend alert. Login immediately",1
"PAN-Aadhaar verification pending. Update today",1
"Aadhaar verification failed. Re-authenticate kare",1
"Bank account review pending hai. Continue services now",1
"Recharge cashback reward expire hone wala hai",1
"Lottery reward claim pending hai. Click here",1
"Your OTP for login is 621483. Do not share it with anyone.",0
"Rs 2,500 credited to your account. Available balance updated.",0
"Mobile recharge of Rs 299 completed successfully.",0
"UPI payment of Rs 850 successful. Ref ID generated.",0
"Your package has been shipped and is in transit.",0
"Train ticket booked successfully. PNR status confirmed.",0
"OTP 384726 is valid for 10 minutes.",0
"Salary credit of Rs 52,000 received in your account.",0
"Card transaction of Rs 1,299 approved successfully.",0
"Electricity bill payment received. Thank you.",0
"Your account balance is Rs 14,780 after recent transaction.",0
"Recharge successful. Enjoy unlimited calling benefits.",0
"Payment of Rs 499 received successfully.",0
"Courier is out for delivery today.",0
"Bus booking confirmed. Seat allocated successfully.",0
"Your OTP is 572914 for account access.",0
"Rs 1,000 transferred successfully through UPI.",0
"Credit card bill payment processed successfully.",0
"Order delivered successfully at your address.",0
"FASTag recharge completed. Updated balance available.",0
"OTP 928374 generated for verification.",0
"Amount debited successfully for online purchase.",0
"Recharge of Rs 199 activated successfully.",0
"Payment confirmation received for order number 7821.",0
"Parcel has arrived at the local delivery center.",0
"Flight booking confirmed. Check itinerary details.",0
"OTP 615294 is your secure login code.",0
"Rs 3,450 credited to your account.",0
"EMI installment received successfully.",0
"Order packed and ready for dispatch.",0
"Ticket reservation confirmed successfully.",0
"Your OTP is 481952. Keep it confidential.",0
"Account credited with cashback amount.",0
"Recharge processed successfully. Thank you.",0
"UPI payment successful. Transaction completed.",0
"Shipment delivered to recipient.",0
"Movie booking confirmed. Enjoy your show.",0
"OTP 764281 generated for authentication.",0
"Wallet credited with Rs 500 successfully.",0
"Insurance premium paid successfully.",0
"Package expected to arrive tomorrow.",0
"Train reservation confirmed. Safe journey.",0
"OTP 339281 is valid for verification.",0
"Bank transfer completed. Updated balance available.",0
"Recharge successful. Benefits activated.",0
"Payment of Rs 799 processed successfully.",0
"Courier delivery attempt successful.",0
"Hotel reservation confirmed.",0
"OTP 152873 generated for login.",0
"Rs 7,000 deposited into your account.",0
"Loan repayment received successfully.",0
"Order dispatched from warehouse.",0
"Flight check-in reminder available now.",0
"OTP 845712 for account verification.",0
"UPI transaction completed successfully.",0
"Wallet recharge processed successfully.",0
"Courier delivered successfully.",0
"Bus ticket confirmed for your journey.",0
"OTP 274915 is your verification code.",0
"Amount credited. New balance updated.",0
"Recharge completed. Validity extended.",0
"Payment received against your invoice.",0
"Shipment left the sorting facility.",0
"Travel ticket booked successfully.",0
"OTP 593824 is confidential.",0
"Rs 980 debited for utility bill payment.",0
"Credit card transaction completed successfully.",0
"Order delivered. Thank you for choosing us.",0
"FASTag top-up successful.",0
"OTP 187452 generated for secure access.",0
"Bank account credited successfully.",0
"Recharge activated successfully.",0
"Payment completed. Receipt available online.",0
"Courier arriving today.",0
"Ticket confirmation successful.",0
"OTP 623781 valid for 5 minutes.",0
"UPI transfer completed successfully.",0
"Bill payment successful. Service remains active.",0
"Order shipped successfully.",0
"Flight reservation confirmed.",0
"OTP 491628 is your one-time password.",0
"Rs 2,200 credited to your savings account.",0
"Subscription renewal successful.",0
"Package delivered at destination.",0
"Train booking confirmed.",0
"OTP 735219 generated for authentication.",0
"Account debited successfully.",0
"Recharge completed. Thank you for using our network.",0
"Payment recorded successfully.",0
"Shipment expected by tonight.",0
"Bus reservation completed successfully.",0
"OTP 562194 is valid for login.",0
"Funds credited. Balance updated successfully.",0
"Utility bill paid successfully.",0
"Order is out for delivery.",0
"Flight booking completed successfully.",0
"OTP 813472 is your login code.",0
"UPI payment processed successfully.",0
"Package delivered. Thank you.",0
"Account credited successfully. Transaction complete.",0
"Recharge request processed successfully.",0
"Payment received. Thank you for your transaction.",0
"Your OTP for verification is 294761. Do not share it.",0
"Dear grahak, aapka KYC status invalid hai. Account band hone se bachne ke liye link par click kare",1
"UPI seva temporary suspend kar di gayi hai. Verification ke liye abhi login kare",1
"Aapka bijli bill 48 ghante se pending hai. Payment nahi hua to connection kat diya jayega",1
"Badhai ho! Aap Rs 1,20,000 prize ke winner bane hain. Claim karne ke liye details bhare",1
"PAN card verification incomplete hai. Banking access continue rakhne ke liye update kare",1
"Aadhaar se bank account link nahi hai. Subsidy continue rakhne ke liye verify kare",1
"UPI ID par restriction lag gayi hai. Reactivate karne ke liye OTP verify kare",1
"Bank security check pending hai. Account freeze hone se pehle login kare",1
"Recharge reward Rs 1499 approve hua hai. Claim karne ke liye secure link use kare",1
"ATM card service disable hone wali hai. KYC update abhi complete kare",1
"Income tax return approve ho gaya hai. Refund pane ke liye account verify kare",1
"UPI PIN expire ho gaya hai. Naya PIN activate karne ke liye click kare",1
"Bijli vibhag notice: Last reminder for bill payment. Immediate action le",1
"Lucky draw me aapko cash reward mila hai. Amount release karne ke liye register kare",1
"KYC documents outdated hain. Naye documents upload kare",1
"Bank account par suspicious login detect hua hai. Verify ownership now",1
"Aadhaar update mandatory hai. Verification complete kare",1
"Cashback amount pending hai. Expiry se pehle claim kare",1
"UPI account temporarily blocked hai. Restore access by verification",1
"Bank notice: Mobile number verify nahi hua. Service interruption ho sakta hai",1
"Credit reward voucher available hai. Claim process start kare",1
"Account dormant mark hua hai. Activate karne ke liye click kare",1
"Electricity bill settlement urgent hai. Connection cut hone se bachaye",1
"Rs 80,000 ka prize reward aapke naam release hua hai",1
"UPI profile verification pending hai. Account continue rakhne ke liye login kare",1
"PAN details mismatch detect hua hai. Correct information submit kare",1
"Aadhaar authentication pending hai. Secure portal visit kare",1
"Bank KYC approval reject ho gaya hai. Dubara apply kare",1
"Recharge bonus unlock hua hai. Offer activate kare",1
"Account suspension alert. Verification complete karna zaroori hai",1
"Reward amount transfer karne ke liye OTP confirm kare",1
"UPI account risk category me hai. Identity verify kare",1
"Electricity board final disconnect warning issue ki gayi hai",1
"Bank services restricted hain. KYC complete kare",1
"Aadhaar linking error mila hai. Resolve immediately",1
"PAN card inactive show ho raha hai. Update now",1
"Cash prize reward ke liye registration fee jama kare",1
"UPI access revoke hone wala hai. Abhi reactivate kare",1
"Recharge cashback credit hone ke liye account verify kare",1
"Bank alert: Account activity review pending hai",1
"Bijli bill clear nahi hua. Supply band ki ja sakti hai",1
"Lottery reward amount ready hai. Claim process complete kare",1
"KYC renewal mandatory hai. Delay par account hold hoga",1
"UPI transaction facility disable ho gayi hai. Verify kare",1
"Aadhaar seeding incomplete hai. Benefits rok diye jayenge",1
"Bank verification code receive karne ke liye details update kare",1
"PAN validation required before further transactions",1
"Special reward selected customer ke liye available hai",1
"Account security update ke liye login zaroori hai",1
"Recharge offer reward expire hone wala hai",1
"UPI profile locked hai. Unlock karne ke liye click kare",1
"Electricity dues outstanding hain. Final payment reminder",1
"Aadhaar document verification failed hai",1
"Bank account par restriction lag gayi hai. Reactivate now",1
"KYC deadline cross ho gayi hai. Urgent verification needed",1
"Cash reward pending approval hai. Details verify kare",1
"UPI registration error mila hai. Reconfirm information",1
"PAN card update pending hai. Access limited ho sakta hai",1
"Aadhaar-bank linking process incomplete hai",1
"Banking facility continue rakhne ke liye secure login kare",1
"Recharge reward voucher ready hai. Collect now",1
"Prize winner announcement: Aap select hue hain",1
"UPI account suspend notice. Verification required",1
"Electricity payment unsuccessful raha. Dubara payment kare",1
"KYC mismatch detect hua hai. Correct details upload kare",1
"Bank account verification due hai. Complete immediately",1
"Aadhaar verification timeout hua hai. Retry now",1
"PAN status pending approval me hai",1
"Reward cash release karne ke liye bank details submit kare",1
"UPI facility temporarily unavailable hai. Verify account",1
"Electricity board legal action notice issue hua hai",1
"Account update required. Banking access continue rakhne ke liye click kare",1
"Recharge cashback claim nahi kiya gaya hai. Abhi kare",1
"Aadhaar validation incomplete hai. Verify identity",1
"Bank KYC service renewal due hai",1
"PAN-Aadhaar linking compulsory hai. Complete today",1
"UPI access suspended due to incomplete verification",1
"Cash prize amount hold par hai. Claim kare",1
"Electricity bill default notice generate hua hai",1
"Bank account security patch install karne ke liye login kare",1
"Aadhaar information outdated hai. Update immediately",1
"Reward points cash me convert karne ka last chance",1
"KYC correction request pending hai",1
"UPI account deactivate alert. Restore services now",1
"PAN card review pending hai. Click for verification",1
"Bank services stop hone se pehle account verify kare",1
"Recharge offer exclusive customer ke liye available hai",1
"Aadhaar authentication mismatch detect hua hai",1
"Lottery cash reward aapke account ke liye approve hua hai",1
"UPI transaction rights suspend ho sakte hain",1
"Electricity connection closure notice issue hua hai",1
"Bank verification pending hone se account hold hai",1
"KYC form incomplete hai. Submit details again",1
"Reward transfer pending hai. Immediate confirmation de",1
"PAN verification timeout hua hai. Retry process",1
"Aadhaar link failure detect hua hai. Resolve today",1
"Your OTP for secure login is 712694. Valid for 10 minutes.",0
"Rs 4,500 credited to your account. Available balance updated.",0
"Recharge of Rs 349 completed successfully. Enjoy benefits.",0
"UPI payment of Rs 1,250 processed successfully.",0
"Your shipment has been dispatched from the warehouse.",0
"Train booking successful. PNR generated and confirmed.",0
"OTP 268145 is your authentication code.",0
"Salary amount credited successfully to your bank account.",0
"Card purchase of Rs 799 approved successfully.",0
"Electricity bill payment received and processed.",0
"Available account balance updated after recent transaction.",0
"Mobile recharge successful. Validity extended.",0
"Payment of Rs 2,199 received successfully.",0
"Courier is scheduled for delivery today.",0
"Bus journey ticket confirmed. Seat details shared.",0
"OTP 941682 generated for account verification.",0
"Rs 600 transferred successfully using UPI.",0
"Credit card payment received. Thank you.",0
"Order delivered successfully to the registered address.",0
"FASTag recharge completed and balance updated.",0
"OTP 531284 is valid for 5 minutes only.",0
"Amount debited successfully for online transaction.",0
"Recharge activated successfully with new validity.",0
"Payment received against your recent purchase.",0
"Parcel has reached the nearest delivery facility.",0
"Flight reservation confirmed successfully.",0
"OTP 194753 generated for login authentication.",0
"Rs 9,000 credited into your savings account.",0
"EMI payment recorded successfully.",0
"Order packed and handed over for shipping.",0
"Ticket booking confirmed for your selected route.",0
"OTP 687214 is your one-time verification code.",0
"Cashback credited successfully to your account.",0
"Recharge processed. Thank you for choosing our service.",0
"UPI transaction successful. Reference number available.",0
"Shipment delivered successfully to recipient.",0
"Movie ticket booked successfully.",0
"OTP 425178 is valid for account access.",0
"Wallet credited with Rs 300 successfully.",0
"Insurance premium transaction completed.",0
"Package expected to be delivered tomorrow.",0
"Railway reservation confirmed successfully.",0
"OTP 853921 generated for secure authentication.",0
"Bank transfer successful. Updated balance available.",0
"Recharge confirmation: Plan activated successfully.",0
"Payment of Rs 1,599 completed successfully.",0
"Courier delivered at destination.",0
"Hotel stay booking confirmed successfully.",0
"OTP 271594 generated for verification.",0
"Rs 12,000 deposited successfully into your account.",0
"Loan installment received and processed.",0
"Order dispatched and tracking activated.",0
"Flight departure reminder: Check-in available.",0
"OTP 364285 is your secure code.",0
"UPI collect request paid successfully.",0
"Wallet top-up completed successfully.",0
"Parcel handed over to recipient.",0
"Bus ticket reservation successful.",0
"OTP 628471 generated for account login.",0
"Funds credited. New balance reflected.",0
"Recharge completed and benefits activated.",0
"Payment confirmation received successfully.",0
"Shipment departed from the regional hub.",0
"Travel booking confirmed successfully.",0
"OTP 735814 is confidential. Do not share.",0
"Rs 1,750 debited for bill payment.",0
"Credit card transaction approved and completed.",0
"Order delivered. Thank you for shopping with us.",0
"FASTag top-up successful. Balance updated.",0
"OTP 591246 generated for secure verification.",0
"Bank account credited successfully today.",0
"Recharge request completed successfully.",0
"Payment recorded and receipt generated.",0
"Courier will arrive within scheduled hours.",0
"Journey ticket confirmed successfully.",0
"OTP 214896 valid for authentication.",0
"UPI payment completed. Reference ID generated.",0
"Bill payment successful and service remains active.",0
"Order shipped and tracking details available.",0
"Flight booking completed successfully.",0
"OTP 782145 is your login verification code.",0
"Rs 5,600 credited to your account successfully.",0
"Subscription plan renewed successfully.",0
"Package delivered and marked complete.",0
"Train seat confirmed for your journey.",0
"OTP 456812 generated for secure access.",0
"Account debited successfully for approved transaction.",0
"Recharge successful. Enjoy uninterrupted services.",0
"Payment processed and confirmed.",0
"Shipment expected by end of day.",0
"Bus reservation completed and confirmed.",0
"OTP 618354 valid for login verification.",0
"Funds added successfully. Updated balance available.",0
"Utility bill paid successfully. Thank you.",0
"Order is currently out for delivery.",0
"Flight reservation processed successfully.",0
"OTP 347591 is your one-time password.",0
"UPI transaction completed and recorded.",0
"Package delivered successfully. Thank you.",0
"Account credited. Transaction completed successfully.",0
"Recharge completed. New plan is active.",0
"Payment received and transaction successful.",0
"Your OTP for verification is 873426. Do not share.",0
"Bank update: aapka KYC record missing hai. Account continue rakhne ke liye verify kare",1
"UPI handle inactive detect hua hai. Reactivate karne ke liye link open kare",1
"Dear customer, bijli bill verify nahi hua. Connection band hone se pehle payment kare",1
"Aap Rs 2 lakh prize draw ke winner bane hain. Claim form fill kare",1
"PAN card details outdated hain. Banking services ke liye update kare",1
"Aadhaar verification pending hai. Account restrictions hatane ke liye click kare",1
"UPI wallet suspend ho gaya hai. OTP verify karke restore kare",1
"Bank account review me hai. Immediate KYC update required",1
"Recharge reward Rs 2100 approved hai. Claim karne ke liye login kare",1
"ATM card temporary blocked hai. Verification ke liye link par jaye",1
"Income tax refund ready hai. Amount receive karne ke liye details submit kare",1
"UPI security update zaroori hai. Verification complete kare",1
"Electricity board se final alert. Bill clear nahi hua to line cut hogi",1
"Lucky customer reward available hai. Cash prize claim kare",1
"KYC expiry notice. Account deactivate hone se pehle renew kare",1
"Bank server upgrade chal raha hai. Account verify karna mandatory hai",1
"Aadhaar seeding failed hai. Subsidy continue rakhne ke liye update kare",1
"PAN verification rejected. Re-submit details now",1
"UPI profile hold par hai. Ownership confirm kare",1
"Recharge cashback release karne ke liye account verify kare",1
